Time,Temp,Weather,Wind,Humidity,"Weather by CustomWeather, ? 2021"
2019/10/01 0,25¡ÆC,Passing clouds.,No wind,100%,
2019/10/01 1,25¡ÆC,Passing clouds.,No wind,94%,
2019/10/01 2,25¡ÆC,Passing clouds.,No wind,94%,
2019/10/01 3,25¡ÆC,Passing clouds.,No wind,94%,
2019/10/01 4,25¡ÆC,Fog.,No wind,94%,
2019/10/01 5,24¡ÆC,Fog.,No wind,100%,
2019/10/01 6,25¡ÆC,Fog.,No wind,100%,
2019/10/01 7,26¡ÆC,Fog.,No wind,94%,
2019/10/01 8,25¡ÆC,Fog.,No wind,94%,
2019/10/01 9,27¡ÆC,Passing clouds.,2 km/h,84%,
2019/10/01 10,29¡ÆC,Passing clouds.,No wind,79%,
2019/10/01 11,31¡ÆC,Passing clouds.,6 km/h,62%,
2019/10/01 12,32¡ÆC,Scattered clouds.,9 km/h,59%,
2019/10/01 13,32¡ÆC,Scattered clouds.,11 km/h,59%,
2019/10/01 14,33¡ÆC,Scattered clouds.,9 km/h,56%,
2019/10/01 15,30¡ÆC,Scattered clouds.,17 km/h,75%,
2019/10/01 16,26¡ÆC,Thunderstorms. Passing clouds.,32 km/h,94%,
2019/10/01 17,26¡ÆC,Thunderstorms. Passing clouds.,6 km/h,94%,
2019/10/01 18,26¡ÆC,Thunderstorms. Passing clouds.,7 km/h,89%,
2019/10/01 19,26¡ÆC,Passing clouds.,7 km/h,89%,
2019/10/01 20,25¡ÆC,Light rain. Scattered clouds.,6 km/h,89%,
2019/10/01 21,24¡ÆC,Light rain. Passing clouds.,No wind,100%,
2019/10/01 22,25¡ÆC,Light rain. Passing clouds.,No wind,94%,
2019/10/01 23,25¡ÆC,Fog.,6 km/h,94%,
2019/10/02 0,25¡ÆC,Fog.,6 km/h,94%,
2019/10/02 1,25¡ÆC,Fog.,No wind,94%,
2019/10/02 2,25¡ÆC,Fog.,No wind,94%,
2019/10/02 3,24¡ÆC,Fog.,No wind,100%,
2019/10/02 4,24¡ÆC,Fog.,No wind,100%,
2019/10/02 5,24¡ÆC,Fog.,No wind,100%,
2019/10/02 6,24¡ÆC,Fog.,No wind,94%,
2019/10/02 7,23¡ÆC,Fog.,6 km/h,100%,
2019/10/02 8,24¡ÆC,Fog.,4 km/h,94%,
2019/10/02 9,26¡ÆC,Haze.,No wind,89%,
2019/10/02 10,28¡ÆC,Passing clouds.,4 km/h,74%,
2019/10/02 11,30¡ÆC,Passing clouds.,2 km/h,70%,
2019/10/02 12,31¡ÆC,Passing clouds.,4 km/h,66%,
2019/10/02 13,31¡ÆC,Passing clouds.,4 km/h,62%,
2019/10/02 14,32¡ÆC,Passing clouds.,6 km/h,55%,
2019/10/02 15,32¡ÆC,Passing clouds.,2 km/h,59%,
2019/10/02 16,33¡ÆC,Passing clouds.,9 km/h,56%,
2019/10/02 17,32¡ÆC,Passing clouds.,13 km/h,67%,
2019/10/02 18,31¡ÆC,Thunderstorms. Passing clouds.,13 km/h,70%,
2019/10/02 19,26¡ÆC,Thunderstorms. Passing clouds.,No wind,89%,
2019/10/02 20,26¡ÆC,Passing clouds.,4 km/h,89%,
2019/10/02 21,25¡ÆC,Light rain. Passing clouds.,6 km/h,94%,
2019/10/02 22,25¡ÆC,Light rain. Passing clouds.,No wind,94%,
2019/10/02 23,25¡ÆC,Light rain. Passing clouds.,No wind,100%,
2019/10/03 0,25¡ÆC,Passing clouds.,9 km/h,94%,
2019/10/03 1,25¡ÆC,Haze.,7 km/h,94%,
2019/10/03 2,25¡ÆC,Haze.,4 km/h,94%,
2019/10/03 3,24¡ÆC,Haze.,No wind,94%,
2019/10/03 4,24¡ÆC,Haze.,No wind,94%,
2019/10/03 5,24¡ÆC,Haze.,No wind,100%,
2019/10/03 6,24¡ÆC,Haze.,2 km/h,100%,
2019/10/03 7,24¡ÆC,Haze.,6 km/h,94%,
2019/10/03 8,25¡ÆC,Passing clouds.,No wind,94%,
2019/10/03 9,26¡ÆC,Passing clouds.,No wind,89%,
2019/10/03 10,29¡ÆC,Passing clouds.,4 km/h,74%,
2019/10/03 11,30¡ÆC,Passing clouds.,6 km/h,66%,
2019/10/03 12,31¡ÆC,Passing clouds.,7 km/h,66%,
2019/10/03 13,31¡ÆC,Passing clouds.,7 km/h,66%,
2019/10/03 14,30¡ÆC,Scattered clouds.,19 km/h,66%,
2019/10/03 15,29¡ÆC,Thunderstorms. Scattered clouds.,11 km/h,79%,
2019/10/03 16,29¡ÆC,Haze.,9 km/h,84%,
2019/10/03 17,29¡ÆC,Sprinkles. Passing clouds.,13 km/h,79%,
2019/10/03 18,26¡ÆC,Haze.,9 km/h,94%,
2019/10/03 19,25¡ÆC,Thunderstorms. Fog.,6 km/h,100%,
2019/10/03 20,25¡ÆC,Light rain. Fog.,No wind,100%,
2019/10/03 21,25¡ÆC,Fog.,4 km/h,100%,
2019/10/03 22,25¡ÆC,Fog.,2 km/h,100%,
2019/10/03 23,25¡ÆC,Fog.,7 km/h,94%,
2019/10/04 0,25¡ÆC,Fog.,No wind,94%,
2019/10/04 1,25¡ÆC,Fog.,4 km/h,94%,
2019/10/04 2,25¡ÆC,Fog.,No wind,94%,
2019/10/04 3,24¡ÆC,Fog.,No wind,100%,
2019/10/04 4,24¡ÆC,Fog.,No wind,100%,
2019/10/04 5,24¡ÆC,Fog.,2 km/h,100%,
2019/10/04 6,25¡ÆC,Passing clouds.,13 km/h,89%,
2019/10/04 7,24¡ÆC,Light rain. Passing clouds.,4 km/h,94%,
2019/10/04 8,24¡ÆC,Scattered clouds.,No wind,94%,
2019/10/04 9,26¡ÆC,Passing clouds.,2 km/h,89%,
2019/10/04 10,27¡ÆC,Passing clouds.,6 km/h,79%,
2019/10/04 11,29¡ÆC,Passing clouds.,4 km/h,70%,
2019/10/04 12,30¡ÆC,Passing clouds.,6 km/h,66%,
2019/10/04 13,32¡ÆC,Passing clouds.,7 km/h,63%,
2019/10/04 14,32¡ÆC,Passing clouds.,15 km/h,63%,
2019/10/04 15,33¡ÆC,Passing clouds.,17 km/h,56%,
2019/10/04 16,33¡ÆC,Passing clouds.,11 km/h,56%,
2019/10/04 17,32¡ÆC,Passing clouds.,19 km/h,59%,
2019/10/04 18,31¡ÆC,Passing clouds.,17 km/h,66%,
2019/10/04 19,30¡ÆC,Passing clouds.,15 km/h,75%,
2019/10/04 20,29¡ÆC,Thunderstorms. Passing clouds.,6 km/h,79%,
2019/10/04 21,27¡ÆC,Passing clouds.,No wind,84%,
2019/10/04 22,26¡ÆC,Light rain. Passing clouds.,4 km/h,94%,
2019/10/04 23,26¡ÆC,Light rain. Passing clouds.,No wind,94%,
2019/10/05 0,26¡ÆC,Passing clouds.,No wind,94%,
2019/10/05 1,26¡ÆC,Passing clouds.,No wind,94%,
2019/10/05 2,26¡ÆC,Passing clouds.,No wind,94%,
2019/10/05 3,25¡ÆC,Passing clouds.,No wind,94%,
2019/10/05 4,25¡ÆC,Passing clouds.,No wind,94%,
2019/10/05 5,25¡ÆC,Passing clouds.,2 km/h,94%,
2019/10/05 6,25¡ÆC,Passing clouds.,No wind,94%,
2019/10/05 7,24¡ÆC,Passing clouds.,No wind,94%,
2019/10/05 8,25¡ÆC,Passing clouds.,No wind,94%,
2019/10/05 9,28¡ÆC,Passing clouds.,4 km/h,79%,
2019/10/05 10,30¡ÆC,Passing clouds.,4 km/h,70%,
2019/10/05 11,31¡ÆC,Passing clouds.,6 km/h,66%,
2019/10/05 12,33¡ÆC,Passing clouds.,11 km/h,52%,
2019/10/05 13,33¡ÆC,Scattered clouds.,7 km/h,52%,
2019/10/05 14,34¡ÆC,Scattered clouds.,11 km/h,49%,
2019/10/05 15,32¡ÆC,Sprinkles. Scattered clouds.,7 km/h,55%,
2019/10/05 16,25¡ÆC,Thunderstorms. Scattered clouds.,20 km/h,89%,
2019/10/05 17,27¡ÆC,Light rain. Scattered clouds.,11 km/h,84%,
2019/10/05 18,27¡ÆC,Scattered clouds.,15 km/h,89%,
2019/10/05 19,27¡ÆC,Scattered clouds.,11 km/h,84%,
2019/10/05 20,26¡ÆC,Passing clouds.,15 km/h,89%,
2019/10/05 21,26¡ÆC,Passing clouds.,9 km/h,84%,
2019/10/05 22,26¡ÆC,Passing clouds.,2 km/h,89%,
2019/10/05 23,26¡ÆC,Passing clouds.,No wind,89%,
